"medcodeid" "depression_broad_ext_cat"
"174" "2534091015" "review"
"175" "2533375017" "support"
"176" "2474716016" "admin"
"177" "2474715017" "admin"
"178" "1773563015" "support"
"179" "1488771018" "support"
"180" "1231868010" "diagnosis"
"181" "1222477019" "diagnosis"
"182" "441826016" "diagnosis"
"183" "410861011" "recurrent_diag"
"184" "401876017" "recurrent_diag"
"185" "401873013" "recurrent_diag"
"186" "401872015" "diagnosis"
"187" "401871010" "diagnosis"
"188" "401869010" "diagnosis"
"189" "401866015" "diagnosis"
"190" "401766011" "diagnosis"
"191" "369982012" "diagnosis"
"192" "346973011" "diagnosis"
"193" "346972018" "diagnosis"
"194" "296199015" "recurrent_diag"
"195" "296198011" "remission"
"196" "296181011" "recurrent_diag"
"197" "296180012" "recurrent_diag"
"198" "296138013" "diagnosis"
"199" "296137015" "diagnosis"
"200" "295537016" "chronic_diag"
"201" "295536013" "diagnosis"
"202" "295535012" "diagnosis"
"203" "295494011" "diagnosis"
"204" "294918011" "diagnosis"
"205" "294917018" "diagnosis"
"206" "294894013" "diagnosis"
"207" "294845013" "recurrent_diag"
"208" "294844012" "recurrent_diag"
"209" "294843018" "remission"
"210" "294840015" "recurrent_diag"
"211" "294838013" "recurrent_diag"
"212" "294837015" "recurrent_diag"
"213" "294836012" "recurrent_diag"
"214" "294832014" "diagnosis"
"215" "294831019" "remission"
"216" "294828015" "diagnosis"
"217" "294826016" "diagnosis"
"218" "294825017" "diagnosis"
"219" "294824018" "diagnosis"
"220" "294690018" "diagnosis"
"221" "294655014" "diagnosis"
"222" "294646011" "diagnosis"
"223" "294642013" "diagnosis"
"224" "251629019" "history"
"225" "138421012" "diagnosis"
"226" "8089301000006110" "diagnosis"
"227" "8100481000006111" "history"
"228" "8214741000006117" "review_invite"
"229" "8232571000006118" "remission"
"230" "8232591000006117" "remission"
"231" "8237831000006115" "partial_remission"
"232" "8237851000006110" "remission"
"233" "8308801000006112" "review"
"234" "8459471000006114" "review_invite"
"235" "8459491000006110" "review_invite"
"236" "8465321000006112" "diagnosis"
"237" "8465361000006118" "diagnosis"
"238" "9901161000006119" "diagnosis"
"239" "9901261000006114" "diagnosis"
"240" "9901281000006116" "diagnosis"
"241" "12127531000006113" "recurrent_diag"
"242" "12127541000006115" "recurrent_diag"
"243" "12127551000006118" "recurrent_diag"
"244" "12127561000006116" "remission"
"245" "12127571000006111" "partial_remission"
"246" "12625101000006116" "review_invite"
"247" "12626331000006116" "review_invite"
"248" "12734331000006115" "review_invite"
"249" "13716011000006116" "diagnosis"
"250" "13902421000006110" "diagnosis"
"251" "13962531000006113" "review"
"252" "13974501000006115" "diagnosis"
"253" "13974511000006117" "diagnosis"
"254" "14013791000006119" "diagnosis"
"255" "14357561000006116" "support"
"256" "14357571000006111" "support"
"257" "14452211000006113" "trd_diag"
"258" "14452261000006111" "persistent_diag"
"259" "15048961000006116" "diagnosis"
